TransLangKey,Language,TransDescription,Few,Many,One,Other,Two,Zero,CreationDate
didnt_select_stations_or_dep_date_en,en,Maybe you didn't select both airports? Or a departure date?,,,,,,,10/03/2015
enter_city_or_airport_en,en,Enter city or airport...,,,,,,,10/03/2015
fares_en,en,Fares,,,,,,,10/03/2015
go_with_one_way_en,en,Continue (One way only),,,,,,,10/03/2015
loading_more_dates_en,en,Hang on we're loading more dates,,,,,,,10/03/2015
no_available_dates_en,en,"Sorry, we've no available dates",,,,,,,10/03/2015
no_available_dates_for_next_6_months_en,en,"Sorry, there's no available dates for the next 6 months.",,,,,,,10/03/2015
no_flight_card_en,en,"Sorry, there's no flight available on this date",,,,,,,10/03/2015
not_available_en,en,Uh Oh! There's no flights available,,,,,,,10/03/2015
operated_by_en,en,Operated By,,,,,,,10/03/2015
pax_selection_infants_limits_description_en,en,Under 2,,,,,,,10/03/2015
pick_your_outbound_date_en,en,Fly out,,,,,,,10/03/2015
price_summary_title_en,en,Cost breakdown,,,,,,,10/03/2015
saved_boarding_passes_en,en,Boarding Passes,,,,,,,10/03/2015
saved_flight_boarding_passes_amount_en,en,%d boarding passes,,,1 boarding pass,,,,10/03/2015
search_screen_title_en,en,Let's get started,,,,,,,10/03/2015
total_paid_en,en,Total Paid:,,,,,,,10/03/2015
use_location_press_continue_en,en,We need to know where you are. Click continue to let us know ,,,,,,,10/03/2015
use_location_turn_on_service_en,en,Where are you? Turn on location services so we can find you. ,,,,,,,10/03/2015
add_documents_message_en,en,You'll need to add documents,,,,,,,10/03/2015
added_en,en,Added,,,,,,,10/03/2015
business_plus_info_baggage_description_en,en,Pack more stuff with a 20KG bag allowance,,,,,,,10/03/2015
business_plus_info_fast_track_description_en,en,Fast Track - the quickest route through the airport,,,,,,,10/03/2015
business_plus_info_flexible_description_en,en,Flexibility on ticket changes just in case!,,,,,,,10/03/2015
business_plus_info_priority_description_en,en,"Priority boarding, no queues, no waiting",,,,,,,10/03/2015
business_plus_info_seating_description_en,en,Premium seat - first off or more legroom,,,,,,,10/03/2015
error_session_timeout_en,en,"Oops, this session has timed out",,,,,,,10/03/2015
error_session_timeout_message_en,en,Go on have another go.,,,,,,,10/03/2015
invalid_ssr_message_en,en,Sorry that message is invalid,,,,,,,10/03/2015
no_bags_en,en,No bags included,,,,,,,10/03/2015
PAX_FIELD_LENGTH_VALIDATION_en-GB,en-GB,More than 2 characters are needed here,,,,,,,10/03/2015
PAX_ILLEGAL_CHARACTERS_VALIDATION_en,en,Illegal characters included,,,,,,,10/03/2015
PAX_MANDATORY_VALIDATION_en,en,Fill this in if you want to continue,,,,,,,10/03/2015
PAX_TYPE_MUST_BE_WITH_ADULT_[CHD]_en,en,Children need to travel with an adult,,,,,,,10/03/2015
PAX_TYPE_MUST_BE_WITH_ADULT_[INF]_en,en,Infants need to travel with an adult,,,,,,,10/03/2015
pot_bags_en,en,,,,,,,,10/03/2015
pot_seats_en,en,,,,,,,,10/03/2015
title_activity_car_hire_en,en,Hire a car and see the sights,,,,,,,10/03/2015
title_activity_hotel_search_en,en,Find a great hotel,,,,,,,10/03/2015
title_country_of_issue_en,en,You'll need to tell us the country of issue,,,,,,,10/03/2015
TOO_MANY_TRIES_CANCELLING_BOOKING_en,en,"Sorry, you've had too many tries, this booking is cancelled. Have another go.",,,,,,,10/03/2015
unknown_en,en,We don't know what this is,,,,,,,10/03/2015
